City_Id,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
412,menongue,-14.6585,17.691,61.09,20,0,4.38,AO,1660156974
413,vuktyl,63.8567,57.3094,57.13,63,100,9.91,RU,1660156976
414,souillac,-20.5167,57.5167,70.18,52,40,18.41,MU,1660156979
415,douentza,14.9951,-2.9517,91.74,46,69,3.31,ML,1660156981
416,wejherowo,54.6057,18.2356,65.82,80,85,3.71,PL,1660156875
417,havoysund,70.9963,24.6622,57.43,91,100,10.92,NO,1660156990
418,kabin buri,13.9511,101.7177,75.07,96,100,3.11,TH,1660156993
419,antalaha,-14.9003,50.2788,69.8,71,87,10.92,MG,1660156996
420,muroto,33.2833,134.15,82.96,79,100,5.55,JP,1660156999
421,comodoro rivadavia,-45.8667,-67.5,60.66,33,0,13.8,AR,1660156898
422,yerbogachen,61.2767,108.0108,54.57,85,98,3.87,RU,1660157003
423,mindelo,16.8901,-24.9804,83.75,65,20,13.8,CV,1660157006
424,bereda,43.2686,-7.5406,73.58,93,38,3.04,ES,1660157008
425,bako,5.7833,36.5667,66.15,64,100,3.78,ET,1660157011
426,uaua,-9.8414,-39.4817,86.7,25,0,6.67,BR,1660156996
427,aragarcas,-15.8975,-52.2508,79.45,31,0,11.5,BR,1660157015
428,council bluffs,41.2619,-95.8608,93.52,45,0,8.05,US,1660157018
429,fereydun kenar,36.6864,52.5225,79.75,68,9,1.72,IR,1660157020
430,tahoua,14.8888,5.2692,93.18,43,20,11.5,NE,1660157025
431,waslala,13.2333,-85.3833,81.39,78,73,6.53,NI,1660157027
432,maun,-19.9833,23.4167,73.36,12,0,5.75,BW,1660157030
433,alyangula,-13.8483,136.4192,71.58,90,2,6.11,AU,1660157032
434,elko,41.0002,-115.5012,69.22,60,100,9.91,US,1660157035
435,vanavara,60.34,102.2797,52.95,92,19,0.72,RU,1660157037
436,pacific grove,36.6177,-121.9166,78.35,69,0,10.0,US,1660157040
437,the valley,18.217,-63.0578,87.66,66,20,16.11,AI,1660157042
438,safaga,26.7292,33.9365,92.07,37,17,14.52,EG,1660157045
439,inta,66.0317,60.1659,50.41,67,92,8.93,RU,1660157047
440,naryan-mar,67.6713,53.087,55.72,69,65,8.28,RU,1660157050
441,warri,5.5167,5.75,76.84,83,100,7.52,NG,1660157052
442,lerwick,60.1545,-1.1494,57.2,93,99,19.64,GB,1660157055
443,san juan,-31.5375,-68.5364,70.57,14,1,8.48,AR,1660157057
444,west bay,19.3667,-81.4167,89.67,79,40,14.97,KY,1660157060
445,college,64.8569,-147.8028,55.2,73,20,1.01,US,1660157062
446,raudeberg,61.9875,5.1352,62.96,80,100,33.62,NO,1660157065
447,balykshi,47.0667,51.8667,78.8,29,0,8.95,KZ,1660157067
448,pudozh,61.8099,36.5345,60.48,66,99,4.52,RU,1660157070
449,tezu,27.9167,96.1667,78.04,86,29,2.26,IN,1660157072
450,tallahassee,30.4383,-84.2807,90.86,68,75,5.01,US,1660156954
451,port macquarie,-31.4333,152.9167,46.89,89,23,4.65,AU,1660157077
452,santa rosa,14.3122,121.1114,81.1,88,100,1.68,PH,1660157079
453,margate,51.3813,1.3862,72.1,78,5,5.99,GB,1660157082
454,boende,-0.2167,20.8667,81.95,50,95,2.28,CD,1660157086
455,arrecife,28.963,-13.5477,76.98,61,20,18.41,ES,1660157089
456,sterling,39.0062,-77.4286,93.15,64,75,5.75,US,1660157068
457,pirgos,35.1167,25.7178,79.63,60,0,7.43,GR,1660157093
458,esmeralda,21.8525,-78.1169,90.45,51,86,15.32,CU,1660157096
459,bathsheba,13.2167,-59.5167,88.41,66,40,11.5,BB,1660157098
460,narasannapeta,18.4167,84.05,79.18,85,100,7.78,IN,1660157101
461,cherskiy,68.75,161.3,55.69,72,0,3.02,RU,1660157103
462,darfield,53.5339,-1.376,82.99,37,15,1.3,GB,1660157106
463,nizwa,22.9333,57.5333,94.06,32,100,6.73,OM,1660157108
464,port shepstone,-30.7414,30.455,66.61,80,17,8.97,ZA,1660157111
465,culebra,18.303,-65.301,89.69,68,100,14.83,PR,1660157115
466,belmonte,-15.8631,-38.8828,77.02,64,0,13.13,BR,1660157118
467,ariquemes,-9.9133,-63.0408,87.28,35,47,6.29,BR,1660157120
468,hobyo,5.3505,48.5268,77.13,80,97,23.06,SO,1660157123
469,ambilobe,-13.2,49.05,68.13,73,4,5.53,MG,1660157125
470,sujangarh,27.7011,74.4649,88.34,58,100,12.48,IN,1660157128
471,santa vitoria do palmar,-33.5189,-53.3681,55.53,62,1,7.14,BR,1660157130
472,kalmunai,7.4167,81.8167,79.12,81,98,2.91,LK,1660157133
473,sola,-13.8833,167.55,75.87,94,100,9.22,VU,1660157135
474,karpogory,64.0019,44.4451,60.04,58,99,1.97,RU,1660157138
475,benjamin hill,30.1667,-111.1,85.62,47,75,1.97,MX,1660157140
476,henties bay,-22.116,14.2845,54.1,89,0,5.46,NA,1660157143
477,tiznit,29.5833,-9.5,72.77,58,0,5.37,MA,1660157145
478,bend,44.0582,-121.3153,81.32,31,0,5.01,US,1660157021
479,chichibu,35.9903,139.0764,78.58,92,100,1.99,JP,1660157150
480,muros,42.7762,-9.0603,68.09,88,52,3.11,ES,1660157152
481,praia da vitoria,38.7333,-27.0667,76.75,73,75,10.02,PT,1660157155
482,bose,45.4612,8.0137,81.99,84,19,7.52,IT,1660157157
483,anadyr,64.75,177.4833,59.5,77,0,4.47,RU,1660157160
484,la palma,33.8464,-118.0467,99.81,49,20,8.05,US,1660157162
485,tortoli,39.9256,9.6572,80.42,65,20,10.36,IT,1660157164
486,pangoa,-12.1167,-73.0,63.72,96,100,0.6,PE,1660157167
487,port keats,-14.25,129.55,69.67,88,35,4.79,AU,1660157170
488,lakhipur,26.0299,90.3041,78.69,88,99,6.06,IN,1660157172
489,terrace,54.5163,-128.6035,80.91,45,0,0.58,CA,1660157174
490,gannan,47.9147,123.5031,58.44,66,100,7.09,CN,1660157177
491,sinazongwe,-17.2614,27.4618,70.25,38,0,2.75,ZM,1660157179
492,nakamura,32.9833,132.9333,76.95,97,96,1.57,JP,1660157182
493,hay river,60.8156,-115.7999,77.41,36,100,15.05,CA,1660157107
494,teguldet,57.3064,88.1667,60.93,89,8,4.07,RU,1660157187
495,bentiu,9.2333,29.8333,75.18,88,100,2.28,SS,1660157189
496,songjianghe,42.1859,127.479,59.97,71,100,3.71,CN,1660157192
497,solnechnyy,50.7214,136.6319,54.27,98,76,5.12,RU,1660157194
498,bardiyah,31.7561,25.0865,78.96,68,0,14.92,LY,1660157196
499,khandyga,62.6667,135.6,55.87,94,100,0.83,RU,1660157199
500,tieli,46.95,128.05,53.56,89,12,2.64,CN,1660157201
501,chhuikhadan,21.5333,80.9833,74.88,93,100,11.65,IN,1660157204
502,katherine,-14.4667,132.2667,73.72,56,26,1.14,AU,1660157206
503,bloomington,44.8408,-93.2983,86.65,56,20,5.75,US,1660156978
504,goya,-29.14,-59.2626,61.5,46,79,6.17,AR,1660157213
505,miyako,39.6367,141.9525,75.52,82,99,5.66,JP,1660157215
506,qeshm,26.9581,56.2719,93.07,63,86,2.37,IR,1660157218
507,shelbyville,35.4834,-86.4603,75.02,94,40,9.22,US,1660157220
508,pocone,-16.2567,-56.6228,74.89,27,100,7.99,BR,1660157223
509,suratgarh,29.3167,73.9,95.14,48,85,9.93,IN,1660157225
510,lloydminster,53.2835,-110.0016,74.71,42,86,16.55,CA,1660157109
511,marsh harbour,26.5412,-77.0636,84.16,73,9,12.82,BS,1660157230
512,pahrump,36.2083,-115.9839,95.45,30,6,3.0,US,1660157232
513,townsville,-19.25,146.8,58.08,88,99,4.61,AU,1660157235
514,sao francisco de paula,-29.4481,-50.5836,48.69,93,79,4.56,BR,1660157238
515,amahai,-3.3333,128.9167,76.26,88,74,2.44,ID,1660157240
516,mul,20.0667,79.6667,75.18,93,100,8.16,IN,1660157242
517,beloha,-25.1667,45.05,70.18,51,86,12.35,MG,1660157245
518,launceston,-41.45,147.1667,44.24,90,33,6.91,AU,1660157103
519,salina cruz,16.1667,-95.2,93.34,46,100,20.83,MX,1660157249
520,yeppoon,-23.1333,150.7333,56.98,87,17,9.19,AU,1660157252
521,kuliyapitiya,7.4688,80.0401,80.28,88,89,5.41,LK,1660157254
522,martapura,-3.4167,114.85,75.29,100,100,3.44,ID,1660157257
523,havre-saint-pierre,50.2334,-63.5986,63.25,74,11,8.86,CA,1660157259
524,vostok,46.4856,135.8833,55.35,94,100,5.93,RU,1660157262
525,deshnok,27.7986,73.3447,92.23,51,9,12.97,IN,1660157266
526,fresnillo,23.1667,-102.8833,76.93,32,10,14.94,MX,1660157269
527,coahuayana,18.7333,-103.6833,90.97,56,100,6.22,MX,1660157271
528,yelizovo,53.1873,158.3805,53.74,100,75,2.24,RU,1660157274
529,abu samrah,35.3029,37.1841,76.17,62,0,15.37,SY,1660157276
530,akdepe,42.0551,59.3788,78.89,37,0,9.37,TM,1660157278
531,port lincoln,-34.7333,135.8667,51.08,80,35,19.62,AU,1660157131
532,rochester,43.1548,-77.6156,81.34,59,75,1.99,US,1660156731
533,kletskaya,49.3145,43.0584,83.77,25,18,11.95,RU,1660158886
534,koryukivka,51.7688,32.2481,60.8,92,100,2.8,UA,1660158888
535,marsa matruh,31.3525,27.2453,79.41,69,0,11.18,EG,1660158886
536,springbok,-29.6643,17.8865,49.24,60,78,3.09,ZA,1660158893
537,mamakan,57.8161,114.0028,54.43,98,100,1.5,RU,1660158895
538,mount isa,-20.7333,139.5,46.17,57,0,0.0,AU,1660158898
539,praia,14.9215,-23.5087,81.32,80,86,6.62,CV,1660158900
